date,precipitation,precipitation_normal
19371109,1.21,57.62
19371110,1.70,58.04
19371111,2.36,58.47
19371112,2.41,58.90
19371113,3.71,59.32
19371114,3.72,59.75
19371115,4.04,60.18
19371116,4.31,60.60
19371117,4.31,61.03
19371118,4.40,61.47
19371119,5.89,61.90
19371120,6.54,62.34
19371121,7.49,62.77
19371122,8.87,63.20
19371123,9.43,63.63
19371124,10.15,64.06
19371125,10.66,64.50
19371126,10.67,64.95
19371127,10.69,65.40
19371128,10.74,65.85
19371129,10.74,66.31
19371130,10.74,66.77
19371201,10.74,67.24
19371202,10.79,67.71
19371203,10.96,68.17
19371204,10.96,68.64
19371205,10.96,69.08
19371206,10.96,69.54
19371207,10.96,69.99
19371208,10.96,70.43
19371209,10.98,70.87
19371210,12.04,71.30
19371211,13.49,71.72
19371212,14.04,72.15
19371213,14.04,72.58
19371214,14.65,73.02
19371215,14.75,73.46
19371216,16.02,73.90
19371217,16.53,74.33
19371218,17.18,74.76
19371219,17.18,75.19
19371220,17.18,75.62
19371221,17.18,76.05
19371222,17.18,76.48
19371223,17.21,76.91
19371224,17.21,77.34
19371225,17.21,77.76
19371226,17.21,78.18
19371227,23.44,78.60
19371228,23.67,79.01
19371229,26.59,79.41
19371230,27.84,79.82
19371231,27.85,80.22
19380101,0.00,0.39
19380102,0.00,0.78
19380103,0.00,1.18
19380104,0.00,1.58
19380105,0.00,1.97
19380106,0.00,2.37
19380107,0.00,2.77
19380108,0.00,3.16
19380109,0.00,3.55
19380110,0.11,3.93
19380111,0.11,4.31
19380112,0.55,4.68
19380113,0.70,5.04
19380114,2.72,5.39
19380115,3.22,5.74
19380116,3.73,6.10
19380117,4.08,6.46
19380118,5.07,6.83
19380119,5.40,7.19
19380120,5.58,7.54
19380121,6.78,7.89
19380122,7.83,8.24
19380123,7.98,8.59
19380124,8.01,8.95
19380125,8.01,9.30
19380126,8.01,9.65
19380127,8.01,10.00
19380128,8.32,10.33
19380129,8.82,10.66
19380130,8.82,10.99
19380131,8.82,11.31
19380201,9.72,11.63
19380202,9.86,11.94
19380203,10.25,12.25
19380204,10.32,12.56
19380205,10.52,12.87
19380206,12.55,13.19
19380207,13.27,13.52
19380208,13.33,13.84
19380209,13.33,14.16
19380210,13.59,14.48
19380211,13.74,14.81
19380212,13.78,15.13
19380213,13.93,15.45
19380214,14.28,15.76
19380215,14.58,16.07
19380216,14.58,16.38
19380217,14.58,16.68
19380218,14.71,16.99
19380219,15.15,17.30
19380220,15.55,17.60
19380221,16.11,17.91
19380222,16.13,18.20
19380223,16.56,18.50
19380224,16.56,18.79
19380225,16.56,19.08
19380226,16.56,19.38
19380227,16.56,19.68
19380228,16.56,19.98
19380301,16.79,20.30
19380302,16.91,20.62
19380303,16.93,20.94
19380304,17.13,21.26
19380305,17.43,21.57
19380306,17.43,21.88
19380307,17.43,22.18
19380308,17.43,22.48
19380309,17.43,22.78
19380310,17.43,23.08
19380311,17.43,23.38
19380312,17.59,23.67
19380313,18.17,23.97
19380314,18.76,24.26
19380315,19.83,24.56
19380316,21.40,24.86
19380317,22.27,25.16
19380318,24.22,25.45
19380319,24.67,25.74
19380320,24.75,26.02
19380321,24.99,26.30
19380322,26.72,26.59
19380323,27.61,26.87
19380324,28.78,27.15
19380325,28.94,27.44
19380326,28.94,27.72
19380327,28.96,28.01
19380328,29.46,28.29
19380329,29.91,28.57
19380330,29.91,28.84
19380331,29.91,29.11
19380401,29.91,29.37
19380402,29.91,29.63
19380403,30.01,29.88
19380404,30.15,30.14
19380405,30.29,30.39
19380406,30.29,30.63
19380407,30.29,30.88
19380408,30.29,31.11
19380409,30.63,31.35
19380410,30.63,31.59
19380411,30.63,31.82
19380412,30.78,32.05
19380413,30.78,32.27
19380414,30.78,32.49
19380415,31.02,32.71
19380416,31.53,32.92
19380417,33.73,33.14
19380418,34.81,33.35
19380419,34.81,33.56
19380420,34.81,33.77
19380421,34.81,33.98
19380422,34.92,34.18
19380423,34.92,34.37
19380424,35.07,34.56
19380425,35.07,34.74
19380426,35.07,34.92
19380427,35.07,35.09
19380428,35.07,35.26
19380429,35.07,35.42
19380430,35.07,35.58
19380501,35.22,35.73
19380502,35.45,35.88
19380503,35.79,36.04
19380504,36.10,36.19
19380505,36.51,36.34
19380506,36.51,36.48
19380507,36.51,36.63
19380508,36.61,36.77
19380509,36.61,36.91
19380510,36.61,37.05
19380511,37.58,37.18
19380512,37.62,37.31
19380513,37.62,37.44
19380514,37.62,37.57
19380515,37.62,37.70
19380516,37.62,37.82
19380517,37.65,37.94
19380518,37.65,38.06
19380519,37.65,38.19
19380520,37.65,38.30
19380521,37.65,38.42
19380522,37.65,38.54
19380523,37.65,38.66
19380524,37.65,38.78
19380525,37.65,38.90
19380526,37.65,39.03
19380527,37.65,39.16
19380528,37.65,39.28
19380529,37.65,39.41
19380530,37.65,39.54
19380531,37.65,39.66
19380601,37.65,39.79
19380602,37.65,39.93
19380603,37.65,40.06
19380604,37.65,40.20
19380605,37.65,40.33
19380606,37.65,40.46
19380607,37.65,40.59
19380608,37.65,40.71
19380609,37.65,40.84
19380610,37.65,40.96
19380611,37.65,41.09
19380612,37.65,41.21
19380613,37.65,41.33
19380614,37.65,41.45
19380615,37.65,41.57
19380616,37.93,41.68
19380617,38.18,41.80
19380618,38.18,41.90
19380619,38.18,42.01
19380620,38.18,42.11
19380621,38.18,42.21
19380622,38.18,42.30
19380623,38.18,42.38
19380624,38.18,42.47
19380625,38.18,42.54
19380626,38.18,42.62
19380627,38.18,42.69
19380628,38.18,42.75
19380629,38.18,42.81
19380630,38.18,42.87
19380701,38.18,42.91
19380702,38.18,42.94
19380703,38.18,42.98
19380704,38.18,43.01
19380705,38.18,43.04
19380706,38.18,43.07
19380707,38.18,43.10
19380708,38.18,43.13
19380709,38.18,43.16
19380710,38.18,43.18
19380711,38.18,43.20
19380712,38.18,43.22
19380713,38.18,43.24
19380714,38.18,43.25
19380715,38.18,43.27
19380716,38.18,43.28
19380717,38.18,43.30
19380718,38.18,43.31
19380719,38.18,43.32
19380720,38.18,43.34
19380721,38.18,43.35
19380722,38.18,43.36
19380723,38.18,43.37
19380724,38.18,43.39
19380725,38.18,43.40
19380726,38.18,43.41
19380727,38.18,43.42
19380728,38.18,43.43
19380729,38.18,43.44
19380730,38.18,43.46
19380731,38.18,43.47
19380801,38.18,43.49
19380802,38.18,43.50
19380803,38.18,43.52
19380804,38.18,43.53
19380805,38.18,43.54
19380806,38.18,43.56
19380807,38.18,43.58
19380808,38.18,43.59
19380809,38.18,43.62
19380810,38.18,43.64
19380811,38.18,43.66
19380812,38.18,43.69
19380813,38.21,43.72
19380814,38.66,43.74
19380815,38.68,43.77
19380816,38.68,43.80
19380817,38.74,43.83
19380818,38.74,43.86
19380819,38.74,43.89
19380820,38.74,43.93
19380821,38.74,43.96
19380822,38.74,44.00
19380823,38.74,44.03
19380824,38.74,44.07
19380825,38.74,44.11
19380826,38.74,44.15
19380827,38.74,44.19
19380828,38.74,44.23
19380829,38.74,44.28
19380830,38.74,44.32
19380831,38.74,44.37
19380901,38.74,44.42
19380902,38.74,44.47
19380903,38.74,44.52
19380904,38.74,44.58
19380905,38.99,44.65
19380906,39.08,44.71
19380907,39.10,44.78
19380908,39.11,44.84
19380909,39.11,44.90
19380910,39.11,44.97
19380911,39.11,45.04
19380912,39.11,45.11
19380913,39.11,45.18
19380914,39.11,45.25
19380915,39.11,45.33
19380916,39.11,45.41
19380917,39.11,45.50
19380918,39.11,45.59
19380919,39.16,45.69
19380920,39.16,45.79
19380921,39.16,45.89
19380922,39.16,46.00
19380923,39.16,46.10
19380924,39.33,46.21
19380925,39.33,46.33
19380926,39.33,46.45
19380927,39.33,46.58
19380928,39.33,46.71
19380929,39.52,46.85
19380930,39.53,46.99
19381001,39.53,47.15
19381002,39.53,47.30
19381003,40.63,47.46
19381004,40.63,47.62
19381005,40.95,47.78
19381006,40.95,47.95
19381007,40.95,48.12
19381008,40.95,48.31
19381009,40.95,48.50
19381010,41.40,48.69
19381011,43.18,48.89
19381012,43.24,49.09
19381013,44.09,49.30
19381014,44.09,49.51
19381015,44.09,49.74
19381016,44.09,49.96
19381017,44.09,50.20
19381018,44.09,50.45
19381019,44.09,50.70
19381020,44.09,50.97
19381021,44.09,51.24
19381022,44.09,51.52
19381023,44.09,51.81
19381024,44.17,52.11
19381025,44.19,52.41
19381026,44.39,52.71
19381027,44.71,53.02
19381028,44.99,53.33
19381029,45.24,53.64
19381030,45.64,53.96
19381031,45.64,54.29
19381101,46.01,54.63
19381102,46.25,54.97
19381103,48.78,55.32
19381104,49.42,55.68
19381105,49.50,56.05
19381106,49.50,56.43
19381107,49.61,56.82
19381108,49.91,57.21
19381109,51.52,57.62
19381110,51.88,58.04
19381111,51.88,58.47
19381112,51.90,58.90
19381113,52.41,59.32
19381114,52.47,59.75
19381115,52.55,60.18
19381116,53.98,60.60
19381117,54.07,61.03
19381118,54.07,61.47
19381119,54.07,61.90
19381120,54.42,62.34
19381121,54.42,62.77
19381122,54.42,63.20
19381123,54.42,63.63
19381124,54.42,64.06
19381125,54.42,64.50
19381126,54.42,64.95
19381127,54.42,65.40
19381128,54.42,65.85
19381129,54.51,66.31
19381130,54.95,66.77
19381201,55.31,67.24
19381202,57.23,67.71
19381203,58.04,68.17
19381204,59.39,68.64
19381205,59.71,69.08
19381206,59.71,69.54
19381207,60.20,69.99
19381208,60.27,70.43
19381209,60.33,70.87
19381210,60.33,71.30
19381211,60.33,71.72
19381212,60.33,72.15
19381213,60.33,72.58
19381214,60.33,73.02
19381215,60.33,73.46
19381216,60.33,73.90
19381217,60.33,74.33
19381218,60.33,74.76
19381219,60.33,75.19
19381220,60.35,75.62
19381221,60.88,76.05
19381222,60.97,76.48
19381223,61.20,76.91
19381224,61.21,77.34
19381225,61.51,77.76
19381226,61.51,78.18
19381227,61.95,78.60
19381228,62.66,79.01
19381229,63.14,79.41
19381230,63.17,79.82
19381231,63.17,80.22
19390101,0.55,0.39
19390102,1.55,0.78
19390103,2.32,1.18
19390104,2.40,1.58
19390105,3.15,1.97
19390106,3.15,2.37
19390107,3.15,2.77
19390108,3.58,3.16
19390109,3.59,3.55
19390110,3.67,3.93
19390111,3.67,4.31
19390112,3.67,4.68
19390113,3.67,5.04
19390114,3.67,5.39
19390115,3.77,5.74
19390116,3.93,6.10
19390117,4.35,6.46
19390118,5.06,6.83
19390119,5.29,7.19
19390120,5.29,7.54
19390121,5.29,7.89
19390122,5.29,8.24
19390123,5.47,8.59
19390124,5.48,8.95
19390125,5.85,9.30
19390126,5.85,9.65
19390127,6.20,10.00
19390128,6.61,10.33
19390129,7.24,10.66
19390130,7.59,10.99
19390131,7.95,11.31
19390201,8.20,11.63
19390202,8.85,11.94
19390203,8.89,12.25
19390204,9.46,12.56
19390205,10.49,12.87
19390206,11.17,13.19
19390207,11.37,13.52
19390208,11.37,13.84
19390209,11.46,14.16
19390210,11.95,14.48
19390211,13.50,14.81
19390212,13.84,15.13
19390213,15.01,15.45
19390214,16.81,15.76
19390215,16.81,16.07
19390216,16.81,16.38
19390217,16.81,16.68
19390218,16.84,16.99
19390219,16.84,17.30
19390220,16.84,17.60
19390221,16.84,17.91
19390222,16.85,18.20
19390223,16.85,18.50
19390224,17.45,18.79
19390225,17.65,19.08
19390226,17.90,19.38
19390227,18.18,19.68
19390228,18.18,19.98
19390301,18.18,20.30
19390302,18.83,20.62
19390303,19.20,20.94
19390304,19.55,21.26
19390305,19.55,21.57
19390306,20.16,21.88
19390307,20.22,22.18
19390308,20.28,22.48
19390309,20.28,22.78
19390310,20.28,23.08
19390311,21.26,23.38
19390312,22.27,23.67
19390313,22.93,23.97
19390314,23.25,24.26
19390315,23.80,24.56
19390316,24.15,24.86
19390317,24.15,25.16
19390318,24.15,25.45
19390319,24.15,25.74
19390320,24.15,26.02
19390321,24.15,26.30
19390322,24.15,26.59
19390323,24.15,26.87
19390324,24.15,27.15
19390325,24.20,27.44
19390326,24.20,27.72
19390327,24.20,28.01
19390328,24.20,28.29
19390329,24.20,28.57
19390330,24.20,28.84
19390331,24.20,29.11
19390401,24.20,29.37
19390402,24.20,29.63
19390403,24.20,29.88
19390404,24.30,30.14
19390405,24.30,30.39
19390406,24.30,30.63
19390407,24.30,30.88
19390408,24.36,31.11
19390409,24.41,31.35
19390410,24.41,31.59
19390411,24.41,31.82
19390412,24.57,32.05
19390413,24.57,32.27
19390414,24.57,32.49
19390415,24.57,32.71
19390416,24.57,32.92
19390417,24.57,33.14
19390418,24.57,33.35
19390419,24.57,33.56
19390420,24.57,33.77
19390421,24.57,33.98
19390422,24.57,34.18
19390423,24.57,34.37
19390424,24.67,34.56
19390425,25.20,34.74
19390426,25.23,34.92
19390427,25.23,35.09
19390428,25.23,35.26
19390429,25.23,35.42
19390430,25.23,35.58
19390501,25.23,35.73
19390502,25.23,35.88
19390503,25.23,36.04
19390504,25.35,36.19
19390505,25.37,36.34
19390506,25.37,36.48
19390507,25.37,36.63
19390508,25.37,36.77
19390509,25.37,36.91
19390510,25.37,37.05
19390511,25.37,37.18
19390512,25.37,37.31
19390513,25.37,37.44
19390514,25.37,37.57
19390515,25.37,37.70
19390516,25.37,37.82
19390517,25.46,37.94
19390518,25.90,38.06
19390519,25.93,38.19
19390520,25.95,38.30
19390521,26.32,38.42
19390522,26.41,38.54
19390523,26.41,38.66
19390524,26.41,38.78
19390525,26.44,38.90
19390526,26.75,39.03
19390527,26.75,39.16
19390528,26.75,39.28
19390529,27.37,39.41
19390530,27.37,39.54
19390531,27.37,39.66
19390601,27.37,39.79
19390602,27.37,39.93
19390603,27.37,40.06
19390604,27.62,40.20
19390605,28.17,40.33
19390606,28.17,40.46
19390607,28.24,40.59
19390608,28.25,40.71
19390609,28.66,40.84
19390610,28.66,40.96
19390611,28.66,41.09
19390612,28.66,41.21
19390613,28.66,41.33
19390614,28.66,41.45
19390615,28.67,41.57
19390616,29.16,41.68
19390617,29.34,41.80
19390618,29.42,41.90
19390619,29.45,42.01
19390620,29.45,42.11
19390621,29.45,42.21
19390622,29.45,42.30
19390623,29.45,42.38
19390624,29.45,42.47
19390625,29.45,42.54
19390626,29.45,42.62
19390627,29.45,42.69
19390628,29.45,42.75
19390629,29.45,42.81
19390630,29.45,42.87
19390701,29.45,42.91
19390702,29.45,42.94
19390703,30.10,42.98
19390704,30.30,43.01
19390705,30.30,43.04
19390706,30.30,43.07
19390707,30.30,43.10
19390708,30.30,43.13
19390709,30.30,43.16
19390710,30.32,43.18
19390711,30.32,43.20
19390712,30.32,43.22
19390713,30.32,43.24
19390714,30.32,43.25
19390715,30.37,43.27
19390716,30.70,43.28
19390717,30.70,43.30
19390718,30.70,43.31
19390719,30.71,43.32
19390720,30.71,43.34
19390721,30.71,43.35
19390722,30.71,43.36
19390723,30.71,43.37
19390724,30.71,43.39
19390725,30.71,43.40
19390726,30.71,43.41
19390727,30.71,43.42
19390728,30.71,43.43
19390729,30.71,43.44
19390730,30.71,43.46
19390731,30.71,43.47
19390801,30.71,43.49
19390802,30.71,43.50
19390803,30.71,43.52
19390804,30.71,43.53
19390805,30.71,43.54
19390806,30.71,43.56
19390807,30.71,43.58
19390808,30.71,43.59
19390809,30.71,43.62
19390810,30.71,43.64
19390811,30.71,43.66
19390812,30.71,43.69
19390813,30.71,43.72
19390814,30.71,43.74
19390815,30.71,43.77
19390816,30.71,43.80
19390817,30.71,43.83
19390818,30.71,43.86
19390819,30.71,43.89
19390820,30.71,43.93
19390821,30.71,43.96
19390822,30.71,44.00
19390823,30.71,44.03
19390824,30.71,44.07
19390825,30.86,44.11
19390826,30.86,44.15
19390827,30.86,44.19
19390828,30.91,44.23
19390829,31.02,44.28
19390830,31.02,44.32
19390831,31.53,44.37
19390901,31.87,44.42
19390902,31.92,44.47
19390903,31.92,44.52
19390904,31.92,44.58
19390905,31.97,44.65
19390906,31.97,44.71
19390907,31.97,44.78
19390908,31.97,44.84
19390909,31.97,44.90
19390910,31.97,44.97
19390911,32.07,45.04
19390912,32.13,45.11
19390913,32.13,45.18
19390914,32.75,45.25
19390915,32.75,45.33
19390916,32.75,45.41
19390917,32.75,45.50
19390918,32.75,45.59
19390919,32.75,45.69
19390920,32.75,45.79
19390921,32.75,45.89
19390922,32.75,46.00
19390923,32.75,46.10
19390924,32.75,46.21
19390925,32.75,46.33
19390926,32.75,46.45
19390927,32.75,46.58
19390928,32.75,46.71
19390929,32.75,46.85
19390930,32.75,46.99
19391001,32.99,47.15
19391002,33.09,47.30
19391003,33.09,47.46
19391004,33.17,47.62
19391005,34.64,47.78
19391006,35.04,47.95
19391007,35.04,48.12
19391008,35.04,48.31
19391009,35.04,48.50
19391010,35.04,48.69
19391011,35.04,48.89
19391012,35.04,49.09
19391013,35.04,49.30
19391014,35.04,49.51
19391015,35.04,49.74
19391016,35.04,49.96
19391017,35.35,50.20
19391018,35.74,50.45
19391019,36.02,50.70
19391020,36.11,50.97
19391021,36.11,51.24
19391022,36.11,51.52
19391023,36.13,51.81
19391024,36.67,52.11
19391025,36.67,52.41
19391026,37.40,52.71
19391027,37.69,53.02
19391028,38.27,53.33
19391029,38.27,53.64
19391030,38.27,53.96
19391031,38.27,54.29
19391101,38.27,54.63
19391102,38.27,54.97
19391103,38.60,55.32
19391104,38.60,55.68
19391105,38.60,56.05
19391106,38.60,56.43
19391107,38.74,56.82
19391108,39.08,57.21
19391109,39.23,57.62
19391110,39.24,58.04
19391111,39.24,58.47
19391112,39.24,58.90
19391113,39.24,59.32
19391114,39.35,59.75
19391115,39.35,60.18
19391116,39.35,60.60
19391117,39.35,61.03
19391118,39.60,61.47
19391119,39.60,61.90
19391120,39.60,62.34
19391121,39.60,62.77
19391122,39.92,63.20
19391123,39.92,63.63
19391124,39.92,64.06
19391125,39.92,64.50
19391126,39.92,64.95
19391127,40.54,65.40
19391128,40.54,65.85
19391129,40.54,66.31
19391130,41.03,66.77
19391201,41.15,67.24
19391202,41.62,67.71
19391203,41.62,68.17
19391204,41.62,68.64
19391205,41.62,69.08
19391206,41.97,69.54
19391207,41.97,69.99
19391208,42.78,70.43
19391209,43.41,70.87
19391210,44.91,71.30
19391211,45.69,71.72
19391212,45.69,72.15
19391213,45.71,72.58
19391214,46.21,73.02
19391215,47.72,73.46
19391216,50.17,73.90
19391217,51.12,74.33
19391218,51.14,74.76
19391219,51.24,75.19
19391220,51.91,75.62
19391221,52.26,76.05
19391222,52.27,76.48
19391223,52.27,76.91
19391224,52.27,77.34
19391225,52.27,77.76
19391226,52.27,78.18
19391227,52.34,78.60
19391228,53.19,79.01
19391229,54.30,79.41
19391230,54.60,79.82
19391231,54.96,80.22
19400101,0.45,0.39
19400102,0.90,0.78
19400103,1.12,1.18
19400104,1.58,1.58
19400105,1.94,1.97
19400106,1.94,2.37
19400107,1.94,2.77
19400108,1.94,3.16
19400109,1.94,3.55
19400110,2.24,3.93
19400111,2.24,4.31
19400112,2.47,4.68
19400113,2.64,5.04
19400114,2.75,5.39
19400115,2.75,5.74
19400116,2.75,6.10
19400117,2.75,6.46
19400118,2.75,6.83
19400119,2.77,7.19
19400120,2.77,7.54
19400121,2.77,7.89
19400122,2.77,8.24
19400123,2.77,8.59
19400124,2.77,8.95
19400125,2.99,9.30
19400126,3.24,9.65
19400127,3.66,10.00
19400128,3.66,10.33
19400129,3.66,10.66
19400130,3.66,10.99
19400131,3.66,11.31
19400201,3.66,11.63
19400202,3.66,11.94
19400203,4.06,12.25
19400204,4.65,12.56
19400205,5.47,12.87
19400206,9.12,13.19
19400207,10.04,13.52
19400208,10.38,13.84
19400209,11.00,14.16
19400210,11.80,14.48
19400211,12.72,14.81
19400212,12.74,15.13
19400213,13.70,15.45
19400214,13.81,15.76
19400215,14.20,16.07
19400216,14.60,16.38
19400217,15.31,16.68
19400218,15.66,16.99
19400219,15.83,17.30
19400220,15.83,17.60
19400221,15.83,17.91
19400222,15.84,18.20
19400223,16.13,18.50
19400224,16.68,18.79
19400225,18.23,19.08
19400226,19.19,19.38
19400227,19.65,19.68
19400228,20.91,19.98
19400229,21.13,19.98
19400301,21.35,20.30
19400302,22.55,20.62
19400303,22.60,20.94
19400304,22.60,21.26
19400305,22.90,21.57
19400306,22.90,21.88
19400307,23.41,22.18
19400308,24.39,22.48
19400309,24.61,22.78
19400310,24.75,23.08
19400311,24.78,23.38
19400312,24.92,23.67
19400313,24.92,23.97
19400314,24.92,24.26
19400315,24.92,24.56
19400316,25.10,24.86
19400317,25.10,25.16
19400318,25.10,25.45
19400319,25.10,25.74
19400320,25.10,26.02
19400321,25.10,26.30
19400322,25.10,26.59
19400323,25.10,26.87
19400324,25.20,27.15
19400325,25.20,27.44
19400326,26.18,27.72
19400327,27.69,28.01
19400328,27.90,28.29
19400329,28.27,28.57
19400330,28.82,28.84
19400331,29.47,29.11
19400401,29.56,29.37
19400402,29.56,29.63
19400403,29.56,29.88
19400404,29.58,30.14
19400405,29.61,30.39
19400406,29.61,30.63
19400407,29.89,30.88
19400408,30.15,31.11
19400409,30.83,31.35
19400410,31.00,31.59
19400411,31.00,31.82
19400412,31.00,32.05
19400413,31.00,32.27
19400414,31.00,32.49
19400415,31.00,32.71
19400416,31.00,32.92
19400417,31.00,33.14
19400418,31.06,33.35
19400419,31.06,33.56
19400420,31.18,33.77
19400421,31.18,33.98
19400422,31.18,34.18
19400423,31.68,34.37
19400424,32.01,34.56
19400425,32.44,34.74
19400426,32.44,34.92
19400427,32.44,35.09
19400428,32.97,35.26
19400429,33.04,35.42
19400430,33.26,35.58
19400501,34.89,35.73
19400502,35.03,35.88
19400503,35.14,36.04
19400504,35.30,36.19
19400505,35.54,36.34
19400506,35.57,36.48
19400507,35.57,36.63
19400508,35.57,36.77
19400509,35.57,36.91
19400510,35.57,37.05
19400511,35.57,37.18
19400512,35.57,37.31
19400513,35.57,37.44
19400514,35.57,37.57
19400515,35.57,37.70
19400516,35.57,37.82
19400517,35.57,37.94
19400518,35.57,38.06
19400519,35.57,38.19
19400520,35.57,38.30
19400521,35.57,38.42
19400522,35.57,38.54
19400523,35.57,38.66
19400524,35.57,38.78
19400525,35.57,38.90
19400526,35.57,39.03
19400527,35.57,39.16
19400528,35.57,39.28
19400529,35.57,39.41
19400530,35.57,39.54
19400531,35.99,39.66
19400601,36.10,39.79
19400602,36.10,39.93
19400603,36.10,40.06
19400604,36.10,40.20
19400605,36.10,40.33
19400606,36.10,40.46
19400607,36.13,40.59
19400608,36.13,40.71
19400609,36.13,40.84
19400610,36.13,40.96
19400611,36.13,41.09
19400612,36.13,41.21
19400613,36.13,41.33
19400614,36.13,41.45
19400615,36.13,41.57
19400616,36.13,41.68
19400617,36.13,41.80
19400618,36.13,41.90
19400619,36.13,42.01
19400620,36.13,42.11
19400621,36.13,42.21
19400622,36.13,42.30
19400623,36.13,42.38
19400624,36.13,42.47
19400625,36.13,42.54
19400626,36.13,42.62
19400627,36.13,42.69
19400628,36.13,42.75
19400629,36.13,42.81
19400630,36.13,42.87
19400701,36.13,42.91
19400702,36.13,42.94
19400703,36.13,42.98
19400704,36.13,43.01
19400705,36.13,43.04
19400706,36.13,43.07
19400707,36.13,43.10
19400708,36.13,43.13
19400709,36.13,43.16
19400710,36.13,43.18
19400711,36.13,43.20
19400712,36.13,43.22
19400713,36.13,43.24
19400714,36.13,43.25
19400715,36.13,43.27
19400716,36.13,43.28
19400717,36.13,43.30
19400718,36.13,43.31
19400719,36.13,43.32
19400720,36.19,43.34
19400721,36.20,43.35
19400722,36.20,43.36
19400723,36.20,43.37
19400724,36.20,43.39
19400725,36.20,43.40
19400726,36.56,43.41
19400727,36.93,43.42
19400728,36.93,43.43
19400729,36.93,43.44
19400730,36.94,43.46
19400731,36.94,43.47
19400801,36.94,43.49
19400802,36.94,43.50
19400803,36.94,43.52
19400804,36.94,43.53
19400805,36.94,43.54
19400806,36.94,43.56
19400807,36.94,43.58
19400808,36.94,43.59
19400809,36.94,43.62
19400810,36.94,43.64
19400811,36.94,43.66
19400812,36.94,43.69
19400813,36.94,43.72
19400814,36.94,43.74
19400815,36.94,43.77
19400816,36.94,43.80
19400817,36.94,43.83
19400818,36.94,43.86
19400819,36.94,43.89
19400820,36.94,43.93
19400821,36.94,43.96
19400822,36.94,44.00
19400823,36.94,44.03
19400824,36.94,44.07
19400825,36.94,44.11
19400826,37.15,44.15
19400827,37.18,44.19
19400828,37.18,44.23
19400829,37.18,44.28
19400830,37.18,44.32
19400831,37.18,44.37
19400901,37.18,44.42
19400902,37.18,44.47
19400903,37.50,44.52
19400904,37.50,44.58
19400905,37.50,44.65
19400906,37.50,44.71
19400907,37.50,44.78
19400908,37.57,44.84
19400909,37.57,44.90
19400910,38.21,44.97
19400911,38.21,45.04
19400912,38.51,45.11
19400913,38.74,45.18
19400914,38.84,45.25
19400915,38.84,45.33
19400916,38.84,45.41
19400917,38.84,45.50
19400918,39.49,45.59
19400919,39.49,45.69
19400920,39.49,45.79
19400921,39.49,45.89
19400922,39.49,46.00
19400923,39.49,46.10
19400924,39.49,46.21
19400925,39.49,46.33
19400926,39.49,46.45
19400927,41.01,46.58
19400928,42.01,46.71
19400929,42.01,46.85
19400930,42.01,46.99
19401001,42.06,47.15
19401002,42.09,47.30
19401003,42.51,47.46
19401004,42.71,47.62
19401005,42.71,47.78
19401006,42.71,47.95
19401007,42.71,48.12
19401008,42.71,48.31
19401009,42.71,48.50
19401010,42.77,48.69
19401011,43.56,48.89
19401012,43.56,49.09
19401013,43.76,49.30
19401014,43.76,49.51
19401015,43.76,49.74
19401016,43.76,49.96
19401017,43.84,50.20
19401018,43.84,50.45
19401019,43.84,50.70
19401020,43.84,50.97
19401021,44.55,51.24
19401022,44.55,51.52
19401023,44.70,51.81
19401024,46.26,52.11
19401025,46.42,52.41
19401026,46.42,52.71
19401027,46.42,53.02
19401028,46.43,53.33
19401029,46.70,53.64
19401030,47.72,53.96
19401031,48.65,54.29
19401101,49.53,54.63
19401102,49.85,54.97
19401103,49.90,55.32
19401104,49.91,55.68
19401105,49.93,56.05
19401106,50.22,56.43
19401107,51.10,56.82
19401108,51.91,57.21
19401109,52.71,57.62
19401110,52.88,58.04
19401111,53.51,58.47
19401112,53.51,58.90
19401113,53.51,59.32
19401114,53.51,59.75
19401115,53.51,60.18
19401116,53.51,60.60
19401117,53.55,61.03
19401118,53.89,61.47
19401119,53.89,61.90
19401120,53.89,62.34
19401121,54.40,62.77
19401122,54.40,63.20
19401123,54.40,63.63
19401124,55.09,64.06
19401125,55.60,64.50
19401126,55.60,64.95
19401127,56.32,65.40
19401128,57.11,65.85
19401129,58.44,66.31
19401130,58.44,66.77
19401201,58.48,67.24
19401202,58.48,67.71
19401203,58.81,68.17
19401204,58.98,68.64
19401205,59.47,69.08
19401206,59.81,69.54
19401207,59.81,69.99
19401208,59.81,70.43
19401209,59.91,70.87
19401210,59.91,71.30
19401211,59.91,71.72
19401212,59.91,72.15
19401213,59.91,72.58
19401214,59.91,73.02
19401215,59.91,73.46
19401216,59.91,73.90
19401217,59.91,74.33
19401218,60.02,74.76
19401219,60.57,75.19
19401220,62.39,75.62
19401221,62.91,76.05
19401222,62.96,76.48
19401223,63.06,76.91
19401224,63.24,77.34
19401225,63.52,77.76
19401226,63.82,78.18
19401227,64.55,78.60
19401228,64.83,79.01
19401229,64.83,79.41
19401230,65.04,79.82
19401231,65.64,80.22
19410101,0.00,0.39
19410102,0.00,0.78
19410103,0.00,1.18
19410104,0.02,1.58
19410105,0.32,1.97
19410106,0.94,2.37
19410107,1.34,2.77
19410108,1.34,3.16
19410109,1.34,3.55
19410110,1.34,3.93
19410111,1.34,4.31
19410112,1.34,4.68
19410113,1.51,5.04
19410114,1.59,5.39
19410115,2.04,5.74
19410116,2.22,6.10
